,asin,Category,Clean_Reviews,predicted
0,B00002243X,Auto,needed jumper cables new car good reviews good price times already supposed no complaints therewhat say feet really isnt ideal length sure pull front bumper front bumper plenty long but lot times beside another car cant get really close would recommend something little longer great brand get version though,Topic 1
1,B00002243X,Auto,long cables work fine truck but quality seems little shabby side money not expecting snapon jumper cables but seem would see chinese knock shop harbor freight bucks,Topic 1
2,B00002243X,Auto,cant comment much since not yet come back update review find issues first but built solid nice tough big hard clamps love long cable never move cars around anything needed bought new truck since always need cables but another reason tow travel trailer run batteries no shore power may die couple days need quick small recharge perfect length pop hood run cables back truck hook batteries tongue travel trailer running truck minutes nice large gauge wire connected battery tot trailer battery give bit charge ever pinch no shore power solar generator rechargebought bucket boss jumper cable bag fit footer perfectlyit no waste money right but easily pay first time need always prepared,Topic 1
3,B00002243X,Auto,love price cheap boosterjumper cables brick morter store extra long heavy duty jumpers first dont person not needs ask kind passerby jump but also jumper cables much easier get jump start cablesnext lets talk sizing longest cable possible major plus car parked something pole wall even parked one way street booster car car wo dead battery pull close enough cables without manuver akward position better yet wont push vehicle position jumped diving normal sized car even pull behind jump vehicle shorter two could pull front gauge arent electricians engineers number value gauge decreases size capacity cable increases example ga twice much copper wire ga ga twice much ga doesnt mean double capacity wire every two numbers though gauge may sound lot but really isntthe technical stuff dont worry doesnt make sense dont really need know but im trying make point get longest heavist cables im not electrican but ive worked long enough know general rules thumb first enemy electricty resistance resistance ultimately determines load particular wire carry five things factor resistance temperature conductor voltage load distance temp cant control assume worst hotor words need heavier cable conductor copper least high purity mix coppergood voltage12vdc low voltage systemprobably biggest problem face since low voltage system contend voltage drop travels wire higher voltage longer run acceptable levels voltage drop particular gauge wireso since low voltage need heavier gauge wire load amperageits car starter takes lot power voltage fixed number less amperage determined size engine trying start youd surprised high even small engine well cranking amps said even dead battery put power distancethis cables selling point also draw back long run 12vdc said last line ga isnt much think fact engine liters really consider ga distance summing laymans termsconsidering hot temperatures outside fact 12vdc need long cable trying start car engine takes lot power cables could reccomend anyone driving small car light trucklets talk properly start car drained battery make sure last connection make neg clamp dead car frame ground something metal not moving going move engine compartment dont attach directly batterys neg post next lightly rev engine running vehicle minutes put bit surface charge dead battery attempt start car soon starts remove cables starting neg car jumped ever dead battery reasontake auto parts store soon possible tested make sure still holds proper charge places free never touch clamps together connected battery could damage vehicles electrical system andor cause fire burns explosion battery damages cablesa couple final thoughts protect investment bought cable bag works really well keep getting tangled everything trunk also keep twist ties come keep organized inside cable bag take home clean dry storing oils inside engine compartments corrosive rubber jackets copper contacts cables worth weight gold inexpensive top notch quality,Topic 1
4,B00002243X,Auto,purchased feet long cable retail cardboard handle could storage carrying case cables although not need store carry high quality long cables high grade materials believe worth price paid store back seat storage compartment truck easily recomend,Topic 1
5,B00002243X,Auto,jumper cables heavy duty yet easy store keep one containers delivery vehicle high quality gauge cable perfect long enough start utilimaster diesel trucks batteries run expensive cables even sever duty cables perfect type vehicle emergency cost reasonable well feet dont get real close vehicle pull back side run cables side vehicle,Topic 1
6,B00002243X,Auto,bought k2500 suburban plenty length front rear ended using right dead battery truck worked great several people complained clamps worked well no issues poor connections cables well made,Topic 1
7,B00002243X,Auto,good enough get motorized vehicles running semi farm equipment get solid copper,Topic 1
8,B00002243X,Auto,coleman cable feet heavyduty truck auto battery booster great heavy fit perfectly arsenal cable organizer hopefully dont ever need but better prepared sorry,Topic 5
9,B00002243X,Auto,old car bound need sometime got gave old ones boss whose truck acting long heavy duty feeling usually im giving someone else jump ever bad experience come back update review,Topic 1
10,B00002243Z,Auto,seem jumper cables least several time every year usually someone elses car ive rescued strangers parking lots keep cables cars length safety feature shouldnt lay cables across engine bay reach battery aluminum wire well consumer grade theyll get job done reasonable cost,Topic 1
11,B00002243Z,Auto,jumper cables not real jumper cables jumper cables let explainwhen youre bind dark night parking lot somewhere battery dead need get prontoin times much easier get jump jumper cables double good jumper cables long easily reach battery good samaritan according electrical theory order dc current flow across long distances need thicker cablethats cables come theyre long thick 2gaugethats cables provide maximum length near maximum gauge cable yes jumper cables cost close much spare tire thats need look cost copper market stuff expensiveyes foot gauge cables but cant reach cars cant carry enough power start car might well lugging brick trunk years might well enjoyed good lunch false confidence gave im serious extension cord get much jumping potential many called jumper cables market laws marketing products not jump start car worse no cables lessthanworthless cables means criminal might reach get jump make getawayat end day want cable better looking 2gauge gauge cable no compromises go 6gauge youre working way cables but reality always need extra feet trying jump start someones car parked tight parking space youre back gaugepros know jump start semi importantly get jump semi truck drivers good guys btw extra long parrot clamp strong but average guy open one hand copper inserts parrot clamps nice clamps rated 500amps theyre friggin heavy near 14lbs yes thats pro means theres pounds copper thats allows current flow freely river no pun intended hugecons issue copper cable not attached copper inserts clamps screws metal clamp rather copper insert dont know thats mistake not im thinking bit retrofitting im sure enough way isoverall close approximation kind jumper cables dad growing custom made hes old schoolanyway youre going carry jumper cables dont muck around spend dough get theyll last lifetime not let downadvice get jump dont waste time rolling things dark parking lot toss heavy mangled mess trunk get home theres always time next day roll monsters back get ready next wild adventure might,Topic 1
12,B00002243Z,Auto,im one guys stops helps people need not pro recovery guy cables average person fit bill right strong clamps long cable stays pliable cold,Topic 5
13,B00002243Z,Auto,arent best cables youll go electrical welding supply company pay probably times cost unless plan start towing service need cables see daily id say gon na work youupdate compairing 4ga cables bought month back car dont really seem much thicker thats said much heavier individual stranding thicker gauge model im guessing thats thickness isnt much morewhat likelength bought halfton pickup never fails battery fail start engine parked packed lot cars sides rather pushing ton vehicle pull booster vehicle close let length work youheft cables no joke workhorse grade cable lets plenty energy flow trying start 7l v8 thats kinda importantsolid clamps unlike reviews dont problem opening parrot clamps one hand but hardly weak theyll clamp solid stay putupdate really need 2ga booster cables skeptical deka makes 2ga cables around no personal experence but little deka name seem pretty goodwhat dont likestiffness theyre not flexible hoping but flexible expected true welding cable 2ga per foot per cable thats best jumper cables cost still hoping little thinner stranding promote flexibiltycable clamp reviews mentioned cable doesnt go way copper contact connected jaws instead screwed body clamp copper jaws also screwed body still fine im sureso cables arent overkill ive argument people 6ga cheapies start truck fine well attempt addess number terms gauge decreases ammount conductor increases words 2ga perhaps conductor 4ga doesnt automatically equate twice much power but certainly allow power flow safely arent aware im not electrical engineer resistance enemy electrical circuts resistance translates heat way friction two physical surfaces rub together five basic factors contribute resistance give curcuit determine appropriate line size ambient temperature conductor line distance voltage amperage ambient temp no control hot bad assume worst means bigger cable overcome additon resistance heat producing conductor copper thats good want pure least high purity mix copper type conductor distance voltage one cables strengths also happens weakness total run length circut pretty long low voltage system 12vdc higher voltage longer run given gauge wire without encountering much voltage drop 12vdc drops voltage circuit realatively short distance heaiver gauge lines needed prevent amperage also big consideration amps load pulls resistance circut generate basically small wire large load generate lot heat one two things happen wire melt andor catch fire load trying power wont work make no mistake starting even small engine takes lot energy bringing together large load low voltage dont want make lower long distance run means wan heaviest cables find addressing orignal question statment 6ga cables might start smallblock fine but want need extra length need consider heavy gauge cables said ive personally seen light duty cables melt smoke starting engine big themare right run close shippeddo actaully need coleman 4ga booster cables no offical training no real sizing charts packaging would say 4ga fine length engines liters honestly probably 6l well anything bigger considering something even betteralso protect investment cable bag keep neat protected also keep twist ties came keep organized inside bag arsenal cable organizer works great remember clean inspect cables prolong life keep safe,Topic 1
14,B00002243Z,Auto,hard find pure copper cabled jumper cables add gave confidence getting arrival noticed plated copped aluminum wire not deal breaker well built likely request,Topic 1
15,B00002243Z,Auto,insurance policy land rover ounce prevention worth pound cure heavy weight appear solidly built havent difficult talk function said im happy enough construction give solid get pay certainly worth,Topic 1
16,B00008BKX5,Auto,serves purpose hauling canoes cabing would time could made sloppy dont secure ratchet straps side back truck works good though going short distances moderate speeds,Topic 1
17,B00008BKX5,Auto,hitch extender good kayak transport allows secure slippery kayaks bed minimal effort rings tee allow straps bunge cords effortlessly secure boats bed securing kayaks place rope cords method support tiedown ends kayaks makes sense good well made painted good coating corrosion resistance stores easily hangs hooks garage wall though somewhat weighty yo lil mamma struggle move but thats one also mounts support cab level bed rack level loads ladders ladies slender frame yakkers hitches get one,Topic 4
18,B00008BKX5,Auto,package bit ragged but easy install takes less minutes works described f150 crew cab truck haul wifes paddle board would suggest anyone looking,Topic 5
19,B00008BKX5,Auto,exactly needed transporting fishing kayak bed f easy assemble works great,Topic 1
20,B00008BKX5,Auto,bought haul two kayaks works great would given stars but not come reflectors padding material also flag comes missing first order sent new one but flag real cheapjust piece red thin plastic,Topic 5
21,B00008BKX5,Auto,owned trucks many years gotten long lumber though not without problems time time originally bought kayaks long carry back truck bed instead using extender least times month transport long itemsthe two pieces fit one inside overall length short enough store behind seat truck needed tubing heavy enough gauge support rated load no flexing two pins needed attach hitch receiver connect two pieces provided cross bar multiple holes could adjust height bed truckthere end loops tie load secure bar center post also works well attachment point lumber pipei saw similar racks selling twice much provided often less strength no versatility one usually tried something see things would improve design but not bed extender,Topic 1
22,B00008RW9U,Auto,must anybody wants keep car clean washes car sits outside parking garages old sheds seem dump tons dust poor car model comes wood handle others cheap plastic one read directions cover youre suppose let air shipping something wax brush also tell not worry getting dirty fact suppose work better gets dirtier duster work even better put sealant andor wax car youll find pull lot material car duster easily remove pollen dust light coating material remove dust hard water rain deposits but youll still see marks look carefully youre call thank,Topic 5
23,B00008RW9U,Auto,supposed but not real happy quality construction,Topic 1
24,B00008RW9U,Auto,would not but would stick detaling microfiber towels vikingcobra,Topic 1
25,B00008RW9U,Auto,original california car duster works well great touch cleaning car washes true say better cleans lot start turn black but start cleaning better ever great wipe light dirt dust car makes look waxed car take care last many years,Topic 3
26,B00008RW9U,Auto,car detail enthusiasts never liked see hours detailing work destroyed couple days driving parking brush detail jobs last longer brush gentle clear coat but sweep dust away leaving water bird droppings behindfor best results recommend clay clean car good car clay wax s100 car wax every months using brush maintain car show room condition long time without wash,Topic 3
27,B00008RW9U,Auto,takes dust car without leaving streaking report brands dont press real hard,Topic 5
28,B00008RW9U,Auto,really best car duster opinion others cheap fall apart easily one really gets job done almost two years bad cant find put,Topic 1
29,B00008RW9U,Auto,ive using one years im second one duster works exceptionally well lifts dust without dragging around not make filthy car hasnt washed weeks months look clean must either keep car garage cover dust daily keep looking clean wash clay bar wax car go two months perhaps without washing long keep covered dust daily wipe weekly instant detailer fibers impregnated paraffin wax dont lay something dont want stained wax dirt also condensation car really renders duster ineffective make sure dry using,Topic 3
30,B00008RW9U,Auto,thing great another one different company broke handle plastic wood feel lot solid black car takes dust right great,Topic 4
31,B00008RW9U,Auto,california car duster much expected keep good finish car garaged yearround washing car many times simply matter hosing dust damn nice job dusting car surfaces quickly easily sometimes get lazy car duster saves full car wash try,Topic 3
32,B00008RW9U,Auto,know dust gets rides garage nice able dust instead complete redetail,Topic 5
33,B00008RW9U,Auto,california duster years brand new old car finishes black white duster keeps relatively clean maintained car looking show room shiny takes minutes many things give spiffy shine couple minutesthe key using duster follow clear instructions provided must let dry day two initial waxy coating fibers reason not scratch finish dry initial read couple reviews claim duster scratches but suspect didnt let dry one time forgot looked liked scratched scared daylights but swirls surface moist wax easily removed moisture cars surface look swirl scratch driessecond duster not scrub brush finishes otherwise clean but dustpollen scrub remove mud splotches bird droppings etc scratch dry rubbing cars finish anything scratch let duster work lifting dust right car doesnt push around but actually lifts offmaker claims gets better time dirt but course cant figure could true but never noticed problem dirt accumulation tried washing maker says but seems remove waxy coating defeats effectiveness ya may last forever but new one year hey pretty inexpensivebe envy neighbors get one amazed,Topic 3
34,B00008RW9U,Auto,maybe dont understand finer points keeping car clean but seems whatever instrument one uses dust car not leave behind lint strands fabric picks,Topic 4
35,B00008RW9U,Auto,effective way remove dust pollen car washes several years without problems recently bought new one replace one got ruined hurricane irene past summer garage flooded cleans without harming car finish leaving streaksimportant follow directions place newspaper hours first get rid excess wax cause streaking covers large area time clean reduced easy clean shake works great no matter dirty gets well made durablenote not substitute going car wash using cleaners nothing example remove water spots bird droppings also nothing give car shine wax but great way maintain car car washes,Topic 3
36,B00008RW9U,Auto,first worked well decided purchase second keep car not but advertised dirtier gets better seems work long suggested dust car not try clean heavy dirt leave car spotless,Topic 4
37,B00008RW9U,Auto,amazingly wipes dust keeping car cleaner washes black car want often,Topic 3
38,B00008RW9U,Auto,trust item works well not scratch paint always skeptical previously asssumed things scratched car but paintless dent removal guy uses one highly recommended california duster fanatical keeping car totally detailed works well never even washes car unless gets rained dusts every morning backs garage needed uses liquid instant detailer microfiber cloth dusting feels takes total less minutes dust entire car yet result makes car look washed iti california duster putting car cover no dust car car cover garage quite useful since dust settles car day night even garaged wont wash car often california duster dust wont build often enoughbefore discovering california duster found washing car could car cover days car got dusty put cover find keep car dust free car cover much longer turn means dont wash car nearly ofteni got plastic handle california duster significantly cheaper time ordered although wood handle one looks classier probably feels nicer plastic handle one feels plenty sturdy value oriented get plastic handle one since exact brush anywayi really happy paid calfornia duster would not hesitate recommend one anyone car motorcycle aware not made car wet dirty complaint not actually made calfornia,Topic 4
39,B00008RW9U,Auto,gave five star rating past expierence using productthe first california car duster recieved gift lasted yrsi bought new one yrs ago still good job work truckt wanted one wifes vehiclei wooden handle fyi follow instructions putting newpaper hrsit show streaks times usethey get broken great jobi highly recommend,Topic 4
40,B00008RW9U,Auto,people complaining streaks but works good year old model replaced handle feels little cheaper but havent issues car white maybe streaking harder see sure leave newspaper days best results,Topic 4
41,B00008RW9V,Auto,purchased item dusting harley easily gets hard reach areas keep dust free also dusting automobile works well would recommend friends full sized california duster exterior dusting full size interior duster work perfectly,Topic 5
42,B00008RW9V,Auto,mk4 beetles dashboard made ridiculous rubberplastic material gets sticky sun heats vw chose material beyond but know mini california duster ive found successfully clean dust dashboard sounds trivial but really great reason achieves no ive found,Topic 2
43,B00008RW9V,Auto,love takes break may get wax streaks not pick dust but within month perfect say improves dirtier becomes shake outside putting back case stuffing trunk map pocket,Topic 5
44,B00008RW9V,Auto,one best things bought keep inside car clean looking new recommend everyone,Topic 4
