,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5
12v,2.047172167577221e-06,1.2729767390123418e-06,0.002531463137197585,1.692585259844585e-06,2.399562901809264e-06
2nd,0.00012148502377416105,5.8676738769545164e-05,0.000158363991010921,0.00021152717951000783,2.443554544196119e-06
3m,0.0014062081664717176,0.00021786471132187536,2.0441578734470816e-06,1.701118128118816e-06,5.481630563174289e-05
5th,2.0531868209288294e-06,0.0005316336069999235,2.0502604777918566e-06,1.6970250088867369e-06,2.421415520217313e-06
ability,0.0002180922143881281,0.00017779262665813749,0.00038987179139623866,0.00024739820862871914,0.00022601674379975494
able,0.0008001219578405971,0.001471847140716125,0.002104625179538745,0.001880697123446244,0.0012573523470597503
absolutely,0.0003554931181320572,0.0003411855601555477,0.0002070863265506942,0.0002952737482721394,0.00045391489961712643
absorb,2.0981738371001726e-06,1.265471007601684e-06,2.036592267733309e-06,1.69442629721173e-06,0.0009611878518234977
absorbent,2.0748800898725125e-06,1.2642682217846199e-06,2.0326533189372554e-06,1.6943450930641022e-06,0.0008893069540148572
ac,2.049838214541392e-06,1.2737685552973447e-06,0.002036501732570548,0.0006415320643624098,2.412657445777278e-06
access,2.068372259833837e-06,0.0004421968996684165,0.0002907303266855307,0.00026118582752565503,0.00021859037488195873
accessories,2.099024650811031e-06,0.00014873961411544217,0.0005546542102247426,1.7361650303915304e-06,0.00014902260615647542
accessory,2.052410454750132e-06,0.0001236011020113721,0.0007562830128852846,3.0196694569801132e-05,2.425269599980738e-06
accidentally,2.092911564410283e-06,0.00012465004644480804,0.00019320950324798908,1.7231099433338358e-06,0.00020173499725557417
accord,0.00011851812046514695,0.00010870305138416117,2.1041853074911134e-06,0.0004375743618788973,2.418560366807525e-06
according,0.0001314091037247337,7.172018429958179e-05,0.00014996284213997834,0.0002945471739914382,6.19616954647344e-05
accurate,2.056163438013012e-06,1.299455680083593e-06,0.002937708133992491,1.7120811947828108e-06,2.421014261288972e-06
acdelco,2.0456176922408e-06,1.2661909704454935e-06,2.033036016182404e-06,0.0006269643495039579,2.401993504355344e-06
acid,6.7595435140984e-05,1.2735190527010176e-06,0.0006070672576751143,1.7120584656173554e-06,2.7010659214837344e-06
action,0.0005963105427096722,0.0001709095823413109,2.0669848244632634e-06,1.7432890024138662e-06,2.4790204921768453e-06
actual,0.00015490350285243834,0.0002383890260467149,0.00047122749965704735,0.0002267753802596281,4.640747688871691e-05
actually,0.0017244525130553018,0.0014277115427829207,0.0013294785613818247,0.0013527614641408807,0.0012499100861143586
adapter,2.047088802950918e-06,1.2891284469990704e-06,0.003169082715770272,0.0005190706186460599,2.403258744194665e-06
adapters,2.046160110484118e-06,1.2750571354201981e-06,0.0005535515663877577,0.0006498358556053784,2.404422511611867e-06
add,0.0006886018340826116,0.0010412490034672312,0.0007719494283340175,0.0007089556133930954,0.0006695630236340337
added,0.0002555816564140586,0.0006583250969955803,0.00046452332677630436,0.0007902958800445743,0.0003175099153297471
adding,0.00014749460544617856,0.0002488525627676936,0.00022755896374971842,0.0002735336148067428,0.00014853389901791584
addition,0.00012341329541603992,0.0003770069825406336,0.0004597960208552534,0.0001734492921612372,0.00046067542553511676
