,asin,Category,Clean_Reviews,predicted
0,B001GXRQW0,Giftcard,shopping amazoncom gift cards christmas gifts really disappointed five choices isnt one says merry christmas mentions christmas sure not alone wanting card reflects actual holiday celebrating principle not send gift card christmas whats political correctness bad marketing decision lynn,Topic 5
1,B001GXRQW0,Giftcard,got gift card friend best site much choose great gift,Topic 5
2,B001GXRQW0,Giftcard,arent going save trees people complaining paper gift cards simply electronic gift card via email convenient indeed great gift found paper gift cards annoying since always wonder much money got left lose lose electronic delivery gift card makes lot easier redeem need copypaste code gift certificate balance itll whenever want ive sent friends electronic gift cards via email newborns weddings housewarmings happy holidays,Topic 2
3,B001GXRQW0,Giftcard,always get someone something safety net return dont but returning things hassle card takes care thatno returns no hassles,Topic 1
4,B001GXRQW0,Giftcard,take dollars good money no limitations turn money site benefit also spend time headache buying types cards dealing activation issues risking expiration delivery issues keep keep track much remaining card least give discount committing purchasing power,Topic 3
5,B001GXRQW0,Giftcard,gift cards truly personal gift problem received could given away gift got email whoops forgot activate card sure card good giving gift good notifying refunds but could leave procrastinator lurch bad gift really good knows problem kudos quick second card ive checked fully loaded thanks,Topic 4
6,B001GXRQW0,Giftcard,dedicated amazoncom shopper almost always happy said please note top page prime member never thought gift cards amazoncom would subject additional shipping handling charge two cards,Topic 4
7,B001GXRQW0,Giftcard,bought three gift cards gifts received mailed one week letter emailed cards could not activated no good sorry contacted could not explain happened but sorry contact recipients explain gift worthless days later im still waiting refund credit card dont order thesethe thing could happen embarrassing give gifts,Topic 2
8,B001GXRQW0,Giftcard,time year gift cards turning best gifts give im glad putting cart products instead order separately,Topic 3
9,B001GXRQW0,Giftcard,bought gift cards give presents totally surprised came sealed inside envelopes not sign cards without opening therefore damaging envelopes asked ship replacement envelopes but not able following response thank contacting us amazoncom im sorry hear gift card envelopes damaged opening understand concern regard unfortunately unable replace envelopes not stock additional gift card envelopes hope understand limitations matter please not cards,Topic 5
10,B001GXRQW0,Giftcard,great giving gift,Topic 2
11,B001GXRQW0,Giftcard,good,Topic 4
12,B001GXRQW0,Giftcard,good,Topic 4
13,B001GXRQW0,Giftcard,gift cards always helpful,Topic 1
14,B001GXRQW0,Giftcard,gift card nothing say,Topic 1
15,B001GXRQW0,Giftcard,cant go wrong,Topic 1
16,B001GXRQW0,Giftcard,excellent,Topic 3
17,B001GXRQW0,Giftcard,youre products perfect saves day heat cold disabled dont drive amazonis perfect people thanks ms nelson,Topic 1
18,B001GXRQW0,Giftcard,got gift card gift someone else opened card cardboard holder discovered claim code not fully readable contacting customer service stated gift card already gift card packaging claim escalated someone else customer service horrible im waiting hear find didnt get email gotten email next day representative phone not friendly,Topic 5
19,B001GXRQW0,Giftcard,great time online spending gift card heres pic anklet bracelet one many items able purchase amazons low prices legendary service,Topic 3
20,B001GXRQW0,Giftcard,thanks,Topic 4
21,B001GXRQW0,Giftcard,great,Topic 1
22,B001GXRQW0,Giftcard,good item good price fast shipping,Topic 4
23,B001GXRQW0,Giftcard,gift card whats likedislike,Topic 1
24,B001GXRQW0,Giftcard,good gift idea,Topic 4
25,B001GXRQW0,Giftcard,,Topic 1
26,B001GXRQW0,Giftcard,gift card,Topic 1
27,B001GXRQW0,Giftcard,purchased six gift cards local supermarket bi lo give christmas gifts something ive done many years sisterinlaw recipient one gift cards called say shes lost gift card likely accidentally discarded christmas paper etc burned trash told no problem since kept receipt bi lo includes gift card number felt certain would able see no purchases made gift card number either bi lo would able cancel card issue new one credit online account bypass issuing new physical card altogether sadly mistaken initially contacted told since card purchased bi lo would need take matter went bi lo told wasnt anything could would need contact since sisterinlaw already contacted turned away decided since one made purchase receipt would call credit card company first see might able offer assistance getting matter resolved since purchased gift cards credit card minutes discussing details credit card company said understood dilemma but werent able dispute charge bi lo suggested contact directly since receipt amazons gift card number since amazons gift card minutes phone nice gentleman made attempts get supervisor approve type credit loss sadly informed isnt responsible purchases gift cards arent made website told since isnt willing offer assistance even though clearly see system unused credit lost gift card since receipt gift card number printed receipt proof purchased gift card felt though robbed since one benefit financially gift transaction certainly not intended add one christmas names furthermore told would not making purchases directly purchasing gift cards future would encourage others try not support businesses engage thievery exactly feel treated instance,Topic 1
28,B001GXRQW0,Giftcard,thanks,Topic 4
29,B001GXRQW0,Giftcard,absolutely no problems redeeming gift card excellent easy,Topic 3
30,B001GXRQW0,Giftcard,amazing site one best never fails,Topic 4
31,B001GXRQW0,Giftcard,cant beat gift card email gift rather ship,Topic 5
32,B001GXRQW0,Giftcard,bought great books kindle items,Topic 5
33,B001GXRQW0,Giftcard,gift cards biggest fraud ever seen husband issued gift card work year ago waiting something needed christmas around corner thought would great idea gift card gifts husband spent dollars change leaving balance dollars wanted something thought hey perfect nephew movie asked small items stockings not break bank well course life doesnt work way supposed husband accounts created married maintained buying surprise birthday christmas anniversary gift catch comes purchases made gift card gift card even registered particular individualaccount not shared someone else powers consider transferring includes minor children may account not spouse meansi would spend personal money pocket wanted still items instead using perfectly good gift card would covered balance option never suggested log husbands account not look bought previous purchase section wanted nephew kids husbands account ask password would given dont bother taking account minors not items restrict transfer property parent child illegal minors not bound agreements live joint property state end day husbands mine mine,Topic 4
34,B001GXRQW0,Giftcard,always good deals,Topic 4
35,B001GXRQW0,Giftcard,daughter surprised,Topic 1
36,B001GXRQW0,Giftcard,always nice easy,Topic 1
37,B001GXRQW0,Giftcard,great,Topic 1
38,B001GXRQW0,Giftcard,received gift cards birthday horrible cant fully scratch card get claim code cant read ive tried tried enter codes books cards invalid entry theyre useless dont get cards,Topic 1
39,B001GXRQW0,Giftcard,gift card great gifts great holiday presents dont know exactly get say arrives fast free comes nice packaging no wrapping necessary need really write person note letter occasion great,Topic 1
40,B001GXRQW0,Giftcard,great gift,Topic 1
41,B001GXRQW0,Giftcard,gave card gift course loved,Topic 3
42,B001GXRQW0,Giftcard,perfect,Topic 1
43,B001GXRQW0,Giftcard,gift card,Topic 1
44,B001GXRQW0,Giftcard,always appreciated,Topic 1
45,B001GXRQW0,Giftcard,except couldnt get walmart accept apparently interweb wouldve nice know purchase looking gift card reviews maybe time seek professional help,Topic 1
46,B001GXRQW0,Giftcard,nice gift card family friends,Topic 2
47,B001GXRQW0,Giftcard,gift older teen loved online purchase pc things,Topic 3
48,B001GXRQW0,Giftcard,would not love gift card gift someone,Topic 5
49,B001GXRQW0,Giftcard,expected,Topic 1
50,B001GXRQW0,Giftcard,easy way give pay,Topic 1
51,B001GXRQW0,Giftcard,check gift card generator ive tried found easy httpwwwgiftcardcluborgamazon nothing download totally free,Topic 1
52,B001GXRQW0,Giftcard,great deal everything bought card received credit,Topic 5
53,B001GXRQW0,Giftcard,alwaysove gift card,Topic 1
54,B001GXRQW0,Giftcard,received gift card employer per internal contest yippee could implement functionality apple allow users devises camera case mac take picture gift card code elevate errors keying number prove user friendly customers visual challengers thank,Topic 2
55,B001GXRQW0,Giftcard,great way give gifts,Topic 2
56,B001GXRQW0,Giftcard,love,Topic 5
57,B001GXRQW0,Giftcard,stars,Topic 1
58,B001GXRQW0,Giftcard,staff exceptional always love dealing,Topic 5
59,B001GXRQW0,Giftcard,good,Topic 4
60,B001GXRQW0,Giftcard,needed got,Topic 3
61,B001GXRQW0,Giftcard,perfect gift,Topic 1
62,B001GXRQW0,Giftcard,perfect gift anyone,Topic 1
63,B001GXRQW0,Giftcard,could not love great,Topic 5
64,B001GXRQW0,Giftcard,great gift,Topic 1
65,B001GXRQW0,Giftcard,nothing review gift card dont want gift card dont simple,Topic 1
66,B001GXRQW0,Giftcard,soninlaw loves perfect gift think love much,Topic 1
67,B001GXRQW0,Giftcard,always nice,Topic 1
68,B001GXRQW0,Giftcard,easy way give,Topic 1
69,B001GXRQW0,Giftcard,love gift card convenient,Topic 2
70,B001GXRQW0,Giftcard,always perfect gift,Topic 1
71,B001GXRQW0,Giftcard,gifts wellreceived,Topic 2
72,B001GXRQW0,Giftcard,grehlrt thank guys much,Topic 5
73,B001GXRQW0,Giftcard,perfect,Topic 1
74,B001GXRQW0,Giftcard,gift card,Topic 1
75,B001GXRQW0,Giftcard,always needed,Topic 1
76,B001GXRQW0,Giftcard,dont remember ever getting one,Topic 1
77,B001GXRQW0,Giftcard,great,Topic 1
78,B001GXRQW0,Giftcard,gift recipient said easy add account,Topic 3
79,B001GXRQW0,Giftcard,came one day,Topic 2
80,B001GXRQW0,Giftcard,not get card called times but not get response,Topic 1
81,B001GXRQW0,Giftcard,always great gifts,Topic 2
82,B001GXRQW0,Giftcard,easy purchase gift giving recipients uniformly pleased takes guess work remembering special occasions continue,Topic 2
83,B001GXRQW0,Giftcard,gift,Topic 1
84,B001GXRQW0,Giftcard,one best gifts giive someone doesnt know give someone occasion ive gootten past love try whomever gift really happy put smile someones face,Topic 4
85,B001GXRQW0,Giftcard,worth,Topic 1
86,B001GXRQW0,Giftcard,excellent price prodict service,Topic 3
87,B001GXRQW0,Giftcard,cash,Topic 1
88,B001GXRQW0,Giftcard,cheap looking clued back ripped picked never another one bought christmas gift ashamed give mary workmman,Topic 5
89,B001GXRQW0,Giftcard,perfect,Topic 1
90,B001GXRQW0,Giftcard,really doesnt gift card spend want,Topic 5
91,B001GXRQW0,Giftcard,super convenient,Topic 2
92,B001GXRQW0,Giftcard,useful,Topic 1
93,B001GXRQW0,Giftcard,bad trying mail two gift cards two different states one father son but birthday calendar date first card successfully received but program cant get corporate head would second card go different email address different person dont want billed second incorrectly recognized maybe put usps stamp personal check send best not want billed number effort delivered ever,Topic 2
94,B001GXRQW0,Giftcard,cant go wrong gift,Topic 1
95,B001GXRQW0,Giftcard,perfect im stuck gift idea,Topic 4
96,B001GXRQW0,Giftcard,exelente,Topic 1
97,B001GXRQW0,Giftcard,say great easy way give gift love receiving love giving ship right recipient get whatever want,Topic 5
98,B001GXRQW0,Giftcard,,Topic 1
99,B001GXRQW0,Giftcard,hello nice way dealing gifts good delivery john,Topic 2
100,B001GXRQW0,Giftcard,everyone loves gift card,Topic 1
101,B001GXRQW0,Giftcard,nice easy give think among gift cards gift card probally easiest reliable card market unlike many gift cards no time limit spend funds no fee card easy enter ones account future easy keep track ones remaining balance hand online link,Topic 1
102,B001GXRQW0,Giftcard,added bonus,Topic 1
103,B001GXRQW0,Giftcard,normally order email gift codes ive never problem but wife wanted give end school year gift sons teachers ordered two gift cards could give teachers last day school surprised thrilled receive well fast forward first week new school year teachers last year embarassed approach wife told gift cards empty didnt work humiliating us parents thought good deed worried getting refund replacement three months passed school summer chat support pleasantly surprised offered refund amounts no hassles didnt even recite back codes send cards back asked back teachers purpose conclusion think twice ordering consider ecodes better option star complete failure stars great customer support averaged rounded gives transaction three stars,Topic 4
104,B001GXRQW0,Giftcard,confusing unnecessarily complicated computer told balance but refused let spend money,Topic 1
105,B001GXRQW0,Giftcard,doesnt gift card gift,Topic 1
106,B001GXRQW0,Giftcard,worse possible outfit could not get bank routing system correctly causing returned payments duh put right numbers but processed wrong something immediately cancelled account ge stagnant stock resorting opinion crockery stay away guys,Topic 5
107,B001GXRQW0,Giftcard,better deals could speed delivery though card takes week get,Topic 1
108,B001GXRQW0,Giftcard,,Topic 1
109,B001GXRQW0,Giftcard,love idea gift card doesnt restrict someone one place,Topic 4
110,B001GXRQW0,Giftcard,gave gift card family member line said card not work line said not card no not going no card line going pay acct not going amazoncom not happy,Topic 2
111,B001GXRQW0,Giftcard,gift card worked,Topic 1
112,B001GXRQW0,Giftcard,hard people perfect solution,Topic 1
113,B001GXRQW0,Giftcard,havent spent yet,Topic 1
114,B001GXRQW0,Giftcard,wonderfull,Topic 1
115,B001GXRQW0,Giftcard,great gift option,Topic 1
116,B001GXRQW0,Giftcard,gift card,Topic 1
117,B001GXRQW0,Giftcard,gift,Topic 1
118,B001GXRQW0,Giftcard,son loves,Topic 1
119,B001GXRQW0,Giftcard,purchased wedding gift bride loved,Topic 1
120,B001GXRQW0,Giftcard,perfect gift,Topic 1
121,B001GXRQW0,Giftcard,gift cards much better shop town gift also love receiving offers easy shopping great selection,Topic 5
122,B001GXRQW0,Giftcard,never ordered,Topic 1
123,B001GXRQW0,Giftcard,best thing ever much fun really really suggest fun stiff get,Topic 5
124,B001GXRQW0,Giftcard,son bought gift card birthday but never received dont even way reference purchase never received email regular mail regarding gift,Topic 2
125,B001GXRQW0,Giftcard,efficient service no shipping charges easy way get last minute gifts quick service recommend friends,Topic 2
126,B001GXRQW0,Giftcard,fast easy come nice package no reason go anywhere else plus wouldnt love card,Topic 4
127,B001GXRQW0,Giftcard,everyone loves gift right came mail day schedule right around christmas eve made secret santa recipient happy,Topic 5
128,B001GXRQW0,Giftcard,gift card would blendtec blender many healthy delicious smoothies,Topic 1
129,B001GXRQW0,Giftcard,way controlling spending allow much money spend month using gift card keeps within budget dependableeasytouse thanks,Topic 4
130,B001GXRQW0,Giftcard,would one but needs change quantity denominations make accessible would would willing one,Topic 1
131,B001GXRQW0,Giftcard,worked really well give gift someone everythingone thing everything someone find want,Topic 5
132,B001GXRQW0,Giftcard,got two different responses customer service inquiring whether gift cards could internationally chat associate written transcript gave clunky hardtounderstand answer but much probing back forth assured card purchased us would work switzerland uk canada get second opinion shelling callled customer service got unequivocal no questions words two conflicting stories not order cards still dont really know whether overseas,Topic 1
133,B001GXRQW0,Giftcard,great customer support dedicated customer big thanks person helped replace yo sons damaged gift card,Topic 4
134,B001GXRQW0,Giftcard,love love gift cards would love delivered please especially gift,Topic 5
135,B001GXRQW0,Giftcard,worked well give gift son using get something wanted long time thank givt cards,Topic 3
136,B001GXRQW0,Giftcard,exactly says convenient way send gifts people love range occasions,Topic 2
137,B001GXRQW0,Giftcard,purchased gift certificate gift never go wrong gift certificate recipient delighted,Topic 1
138,B001GXRQW0,Giftcard,perfect wedding gift newly weds shop online didnt shop search perfect gift dont need want,Topic 1
139,B001GXRQW0,Giftcard,call gift cards cowards way brother let tell love amazoncom perfect venue let picky people stuff,Topic 1
140,B001GXRQW0,Giftcard,got gift cards parts upgrade old laptop computer goodys gift cards fine not pay fee visa gift card master card but not reloadable but good safe small purchases dollars unlike credit cards no interest pay amount card upfront point purchase experience good never want credit prepaid debit card shopping,Topic 4
141,B001GXRQW0,Giftcard,gift cards grandchildren christmases birthdays child gets certain age difficult right clothes toys electronic gadgets appreciate cards pick products carries want,Topic 5
142,B001GXRQW0,Giftcard,always nice get gift card purchase whatever little heart desires ok,Topic 1
143,B001GXRQW0,Giftcard,gift cards always hit one no exception purchased someone really doesnt need anything,Topic 1
144,B001GXRQW0,Giftcard,ordered amazoncom gift card advertise time undamaged no issues whatsoever using son receives vanilla visa gift card every year grandparents but always trouble finding merchant takes accepts amazoncom able purchase amazoncom gift card vanilla visa card ease able purchase exactly wanted wasnt limited vanilla visa card,Topic 3
145,B001GXRQW0,Giftcard,sign go kindle create gift card put amount trouble begins put visa card number doesnt matter already file go continues purchase tells gift card ready print try print asks credit card number press print gift card button get html file signin panel downloads get no gift card customer service cooperative gave refund said would fix problem,Topic 3
146,B001GXRQW0,Giftcard,gift cards great gifts cant find better gift good ideas best ideas gifts thank helping,Topic 2
147,B001GXRQW0,Giftcard,card not find place enter code want kindle books,Topic 5
148,B001GXRQW0,Giftcard,wonderful way gift someone kindle books also allows person choose books great,Topic 5
